Entity,Year,Estimated maternal deaths
Madagascar,2016,3735.3562
Madagascar,2017,3597.617
Madagascar,2018,3648.603
Madagascar,2019,3471.3772
Madagascar,2020,3464.9248
Malawi,2016,2607.8518
Malawi,2017,2301.755
Malawi,2018,2440.8694
Malawi,2019,2347.3462
Malawi,2020,2451.5142
Malaysia,2016,115.18137
Malaysia,2017,112.83057
Malaysia,2018,111.23988
Malaysia,2019,110.27541
Malaysia,2020,107.98417
Maldives,2016,4.0809107
Maldives,2017,3.6646361
Maldives,2018,3.8825579
Maldives,2019,4.0259805
Maldives,2020,3.9685662
Mali,2016,3850.7817
Mali,2017,3798.5532
Mali,2018,3762.4604
Mali,2019,3738.7373
Mali,2020,3926.8052
Malta,2016,0.16499156
Malta,2017,0.15128945
Malta,2018,0.16215906
Malta,2019,0.16201611
Malta,2020,0.14463899
Mauritania,2016,676.55817
Mauritania,2017,654.3585
Mauritania,2018,673.32513
Mauritania,2019,638.0296
Mauritania,2020,695.74817
Mauritius,2016,6.726896
Mauritius,2017,6.3911495
Mauritius,2018,6.5448256
Mauritius,2019,6.3771725
Mauritius,2020,10.9665365
Mexico,2016,1038.4519
Mexico,2017,1089.6549
Mexico,2018,1133.886
Mexico,2019,1139.1066
Mexico,2020,1159.4426
Micronesia (country),2016,1.2757897
Micronesia (country),2017,1.2531657
Micronesia (country),2018,1.3776643
Micronesia (country),2019,1.3033868
Micronesia (country),2020,1.4862387
Moldova,2016,7.2005873
Moldova,2017,6.4650235
Moldova,2018,6.0817404
Moldova,2019,4.8380675
Moldova,2020,4.783261
Mongolia,2016,36.333946
Mongolia,2017,36.100803
Mongolia,2018,31.653395
Mongolia,2019,29.780546
Mongolia,2020,29.225273
Montenegro,2016,0.47055325
Montenegro,2017,0.4365409
Montenegro,2018,0.43083167
Montenegro,2019,0.4071834
Montenegro,2020,0.4322104
Morocco,2016,583.4228
Morocco,2017,551.1997
Morocco,2018,528.1295
Morocco,2019,508.54523
Morocco,2020,472.06668
Mozambique,2016,2062.1128
Mozambique,2017,1930.9126
Mozambique,2018,1780.4576
Mozambique,2019,1697.0846
Mozambique,2020,1465.5844
Myanmar,2016,2301.8655
Myanmar,2017,2257.1736
Myanmar,2018,2020.9097
Myanmar,2019,1997.662
